년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상
2021,인천,외래, H04 ,0.0,13.0,43.0,74.0,1545,342.0,79.0
2021,인천,외래, M19 ,0.0,218.0,30.0,88.0,1498,96.0,12.0
2021,인천,외래, H25 ,0.0,189.0,109.0,144.0,1776,158.0,46.0
2021,인천,외래, M54 ,0.0,667.0,386.0,675.0,5647,787.0,130.0
2021,인천,외래, L24 ,0.0,122.0,71.0,121.0,1283,173.0,30.0
2021,인천,외래, K04 ,0.0,180.0,130.0,177.0,1334,210.0,46.0
2021,인천,외래, B35 ,0.0,197.0,95.0,153.0,1718,301.0,53.0
2021,인천,외래, I63 ,0.0,216.0,250.0,285.0,2139,331.0,77.0
2021,인천,외래, K29 ,0.0,153.0,122.0,362.0,3003,702.0,170.0
2021,인천,외래, R52 ,0.0,151.0,218.0,167.0,2187,237.0,24.0
2021,인천,외래, K02 ,0.0,190.0,94.0,191.0,1066,117.0,5.0
2021,인천,외래, H90 ,0.0,273.0,444.0,780.0,11694,2356.0,681.0
2021,인천,외래, K21 ,0.0,267.0,172.0,174.0,1101,198.0,55.0
2021,인천,외래, M75 ,0.0,5154.0,1528.0,1347.0,3718,452.0,93.0
2022,인천,입원(연인원), N40 ,1584.0,0.0,1.0,18.0,976,423.0,166.0
2022,인천,입원(연인원), N31 ,1243.0,7.0,0.0,9.0,656,501.0,70.0
2022,인천,입원(연인원), E11 ,864.0,32.0,12.0,31.0,527,262.0,0.0
2022,인천,입원(연인원), M48 ,813.0,0.0,1.0,0.0,583,217.0,12.0
2022,인천,입원(연인원), C67 ,626.0,2.0,0.0,0.0,235,202.0,187.0
2022,인천,입원(연인원), C61 ,534.0,0.0,0.0,0.0,141,158.0,235.0
2022,인천,입원(연인원), U07 ,466.0,151.0,25.0,73.0,146,64.0,7.0
2022,인천,입원(연인원), G81 ,280.0,0.0,0.0,7.0,186,87.0,0.0
2022,인천,입원(연인원), M54 ,267.0,0.0,36.0,0.0,56,175.0,0.0
2022,인천,입원(연인원), M17 ,237.0,0.0,0.0,67.0,137,33.0,0.0
2022,인천,입원(연인원), M19 ,235.0,0.0,0.0,33.0,202,0.0,0.0
2022,인천,입원(연인원), E14 ,234.0,0.0,0.0,0.0,70,63.0,101.0
2022,인천,입원(연인원), M51 ,208.0,11.0,15.0,40.0,76,9.0,57.0
2022,인천,입원(연인원), I63 ,197.0,0.0,0.0,13.0,157,7.0,20.0
2022,인천,입원(연인원), G95 ,191.0,79.0,0.0,6.0,27,79.0,0.0
2022,인천,입원(연인원), J44 ,185.0,14.0,75.0,0.0,79,17.0,0.0
2022,인천,입원(연인원), M50 ,184.0,0.0,0.0,0.0,31,0.0,153.0
2022,인천,입원(연인원), C34 ,179.0,0.0,71.0,0.0,53,55.0,0.0
2022,인천,입원(연인원), I10 ,175.0,0.0,0.0,0.0,24,0.0,151.0
2022,인천,입원(연인원), S72 ,158.0,0.0,0.0,0.0,58,26.0,74.0
2022,인천,외래, N40 ,,265.0,504.0,791.0,13487,2374.0,962.0
2022,인천,외래, I10 ,,517.0,608.0,866.0,6583,1530.0,598.0
2022,인천,외래, M54 ,,775.0,621.0,953.0,5736,910.0,315.0
2022,인천,외래, K05 ,,563.0,300.0,516.0,5126,839.0,247.0
2022,인천,외래, E11 ,,471.0,338.0,618.0,4198,802.0,198.0
2022,인천,외래, Z26 ,,2185.0,563.0,650.0,2540,373.0,48.0
2022,인천,외래, U07 ,,1187.0,1393.0,1109.0,1639,609.0,88.0
