상병코드,지역
S42190,광주
S42240,광주
S4290,광주
S5230,광주
S5341,광주
S5630,광주
S581,광주
S597,광주
S617,광주
S618,광주
S62341,광주
S62630,광주
S62670,광주
S62691,광주
S657,광주
S6650,광주
S6658,광주
S72091,광주
S7280,광주
S730,광주
S757,광주
S7608,광주
S7620,광주
S818,광주
S82821,광주
S857,광주
S8610,광주
S910,광주
S9251,광주
S9270,광주
T2439,광주
T797,광주
T848,광주
T913,광주
Z038,광주
Z139,광주
Z951,광주
Z955,광주
A047,부산
A090,부산
A099,부산
A1500,부산
A1510,부산
A1511,부산
A1531,부산
A1561,부산
A1651,부산
A1671,부산
A184,부산
A310,부산
A318,부산
A419,부산
A753,부산
A99,부산
B022,부산
B029,부산
B180,부산
B1810,부산
B182,부산
B189,부산
B3780,부산
B86,부산
C01,부산
C029,부산
C069,부산
C080,부산
C099,부산
C109,부산
C119,부산
C139,부산
C140,부산
C159,부산
C1609,부산
C1619,부산
C1620,부산
C1629,부산
C1639,부산
C1650,부산
C1699,부산
C170,부산
C179,부산
C180,부산
C182,부산
C183,부산
C184,부산
C186,부산
C187,부산
C189,부산
C19,부산
C20,부산
C220,부산
C221,부산
C229,부산
C23,부산
C240,부산
C241,부산
C249,부산
C250,부산
C252,부산
C257,부산
C259,부산
C269,부산
C3409,부산
C3411,부산
C342,부산
C3491,부산
C3499,부산
C37,부산
C449,부산
C450,부산
C459,부산
C4671,부산
C472,부산
C5090,부산
C5099,부산
C541,부산
C569,부산
C609,부산
C61,부산
C649,부산
C651,부산
C659,부산
C660,부산
C661,부산
C669,부산
C670,부산
C671,부산
C672,부산
C679,부산
C719,부산
C73,부산
C763,부산
C7809,부산
C7951,부산
C812,부산
C8338,부산
C859,부산
C900,부산
C921,부산
C923,부산
D010,부산
D090,부산
D126,부산
D131,부산
D140,부산
D1439,부산
D152,부산
D169,부산
D170,부산
D179,부산
D1803,부산
D1808,부산
D181,부산
D303,부산
D329,부산
D333,부산
