상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 E11 ,157.0,29.0,281.0,1752,563.0,211.0
 N31 ,0.0,0.0,0.0,1537,605.0,301.0
 M17 ,60.0,106.0,90.0,1754,256.0,26.0
 M48 ,22.0,36.0,54.0,1198,583.0,53.0
 M19 ,18.0,213.0,169.0,898,289.0,0.0
 J44 ,127.0,0.0,133.0,749,14.0,401.0
 N40 ,21.0,7.0,8.0,1093,82.0,106.0
 C61 ,0.0,0.0,0.0,470,470.0,73.0
 M75 ,35.0,46.0,200.0,562,60.0,0.0
 I10 ,5.0,0.0,1.0,120,203.0,443.0
 C67 ,3.0,0.0,0.0,186,529.0,49.0
 K56 ,23.0,0.0,0.0,175,172.0,232.0
 J45 ,0.0,0.0,7.0,455,0.0,87.0
 J21 ,7.0,0.0,0.0,201,261.0,57.0
 J18 ,0.0,0.0,0.0,251,214.0,53.0
 G81 ,0.0,44.0,0.0,304,142.0,16.0
 M96 ,26.0,0.0,66.0,387,23.0,0.0
 H25 ,5.0,18.0,30.0,353,38.0,4.0
 K81 ,0.0,0.0,0.0,7,0.0,395.0
 K59 ,0.0,0.0,0.0,22,351.0,0.0
 N40 ,160.0,100.0,169.0,1529,170.0,44.0
 Z26 ,478.0,341.0,638.0,4086,848.0,164.0
 I10 ,303.0,226.0,308.0,2547,508.0,143.0
 K05 ,68.0,142.0,281.0,2357,251.0,39.0
 E11 ,46.0,50.0,54.0,1241,347.0,78.0
 M48 ,591.0,679.0,883.0,6153,1630.0,525.0
 H04 ,13.0,43.0,74.0,1545,342.0,79.0
 M19 ,218.0,30.0,88.0,1498,96.0,12.0
 H25 ,189.0,109.0,144.0,1776,158.0,46.0
 M54 ,667.0,386.0,675.0,5647,787.0,130.0
 L24 ,122.0,71.0,121.0,1283,173.0,30.0
 K04 ,180.0,130.0,177.0,1334,210.0,46.0
 B35 ,197.0,95.0,153.0,1718,301.0,53.0
 I63 ,216.0,250.0,285.0,2139,331.0,77.0
 K29 ,153.0,122.0,362.0,3003,702.0,170.0
 R52 ,151.0,218.0,167.0,2187,237.0,24.0
 K02 ,190.0,94.0,191.0,1066,117.0,5.0
 H90 ,273.0,444.0,780.0,11694,2356.0,681.0
 K21 ,267.0,172.0,174.0,1101,198.0,55.0
 M75 ,5154.0,1528.0,1347.0,3718,452.0,93.0
 N40 ,0.0,1.0,2.0,43,19.0,6.0
 U07 ,25.0,6.0,13.0,14,7.0,2.0
 M48 ,0.0,1.0,0.0,48,11.0,2.0
 E11 ,4.0,1.0,4.0,36,11.0,0.0
 N31 ,1.0,0.0,1.0,22,17.0,4.0
 C67 ,1.0,0.0,0.0,23,11.0,6.0
 C61 ,0.0,0.0,0.0,2,8.0,7.0
 M54 ,0.0,2.0,0.0,3,6.0,0.0
 M19 ,0.0,0.0,2.0,8,0.0,0.0
 M17 ,0.0,0.0,2.0,6,2.0,0.0
 C34 ,0.0,5.0,0.0,3,2.0,0.0
 J44 ,1.0,3.0,0.0,4,2.0,0.0
 G81 ,0.0,0.0,1.0,6,2.0,0.0
 E14 ,0.0,0.0,0.0,3,4.0,2.0
 I63 ,0.0,0.0,1.0,5,1.0,1.0
 G95 ,1.0,0.0,1.0,3,3.0,0.0
 D17 ,1.0,0.0,1.0,6,0.0,0.0
 A09 ,1.0,1.0,0.0,6,0.0,0.0
 K29 ,4.0,0.0,1.0,1,2.0,0.0
 H25 ,0.0,1.0,0.0,5,2.0,0.0
 N40 ,0.0,1.0,18.0,976,423.0,166.0
 N31 ,7.0,0.0,9.0,656,501.0,70.0
 E11 ,32.0,12.0,31.0,527,262.0,0.0
 M48 ,0.0,1.0,0.0,583,217.0,12.0
 C67 ,2.0,0.0,0.0,235,202.0,187.0
 C61 ,0.0,0.0,0.0,141,158.0,235.0
 U07 ,151.0,25.0,73.0,146,64.0,7.0
 G81 ,0.0,0.0,7.0,186,87.0,0.0
 M54 ,0.0,36.0,0.0,56,175.0,0.0
 M17 ,0.0,0.0,67.0,137,33.0,0.0
 M19 ,0.0,0.0,33.0,202,0.0,0.0
 E14 ,0.0,0.0,0.0,70,63.0,101.0
 M51 ,11.0,15.0,40.0,76,9.0,57.0
 I63 ,0.0,0.0,13.0,157,7.0,20.0
 G95 ,79.0,0.0,6.0,27,79.0,0.0
 J44 ,14.0,75.0,0.0,79,17.0,0.0
 M50 ,0.0,0.0,0.0,31,0.0,153.0
 C34 ,0.0,71.0,0.0,53,55.0,0.0
 I10 ,0.0,0.0,0.0,24,0.0,151.0
 S72 ,0.0,0.0,0.0,58,26.0,74.0
 N40 ,265.0,504.0,791.0,13487,2374.0,962.0
 I10 ,517.0,608.0,866.0,6583,1530.0,598.0
 M54 ,775.0,621.0,953.0,5736,910.0,315.0
 K05 ,563.0,300.0,516.0,5126,839.0,247.0
 E11 ,471.0,338.0,618.0,4198,802.0,198.0
 Z26 ,2185.0,563.0,650.0,2540,373.0,48.0
 U07 ,1187.0,1393.0,1109.0,1639,609.0,88.0
 M48 ,128.0,182.0,327.0,3980,721.0,237.0
 M17 ,228.0,223.0,343.0,3005,354.0,72.0
 M75 ,434.0,236.0,343.0,2425,288.0,11.0
 M51 ,419.0,248.0,364.0,2030,216.0,49.0
 I63 ,100.0,85.0,198.0,1670,551.0,115.0
 H04 ,156.0,145.0,182.0,1769,318.0,136.0
 K04 ,163.0,71.0,132.0,1983,201.0,55.0
 M19 ,64.0,116.0,205.0,1840,236.0,65.0
 B35 ,163.0,138.0,161.0,1750,181.0,64.0
 G81 ,190.0,2.0,219.0,1656,105.0,22.0
 L24 ,116.0,89.0,89.0,1433,311.0,81.0
