주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
B49,외래,10134.0,461418070.0,1049352250.0,45531.68245510164,103547.6860074995
B49,입원,586.0,1955006870.0,2549604380.0,3336189.1979522184,4350860.716723549
B50,외래,65.0,3011840.0,6562520.0,46336.0,100961.84615384616
B50,입원,29.0,66110140.0,90753640.0,2279660.0,3129435.8620689656
B51,외래,315.0,15166440.0,32081670.0,48147.42857142857,101846.57142857143
B51,입원,209.0,332174240.0,427311900.0,1589350.4306220096,2044554.5454545454
B52,외래,2.0,27440.0,38940.0,13720.0,19470.0
B52,입원,1.0,2343300.0,2991020.0,2343300.0,2991020.0
B53,외래,28.0,1472540.0,3219940.0,52590.71428571428,114997.85714285714
B53,입원,16.0,27523000.0,35934070.0,1720187.5,2245879.375
B54,외래,558.0,28972920.0,59361690.0,51922.79569892473,106382.95698924731
B54,입원,283.0,443038780.0,582166410.0,1565508.0565371024,2057125.1236749117
B55,외래,3.0,101200.0,559400.0,33733.333333333336,186466.66666666666
B55,입원,3.0,5768820.0,7975800.0,1922940.0,2658600.0
B56,외래,57.0,1635120.0,2471120.0,28686.315789473683,43352.98245614035
B57,외래,1.0,123970.0,176970.0,123970.0,176970.0
B58,외래,332.0,49835990.0,99906240.0,150108.40361445784,300922.4096385542
B58,입원,13.0,61602560.0,75042860.0,4738658.461538462,5772527.692307692
B60,외래,254.0,8028390.0,14670630.0,31607.834645669293,57758.38582677166
B60,입원,3.0,4381150.0,7069410.0,1460383.3333333333,2356470.0
B64,외래,23.0,1240600.0,1688970.0,53939.13043478261,73433.47826086957
B65,외래,42.0,1137970.0,2104340.0,27094.52380952381,50103.333333333336
B66,외래,3169.0,99531270.0,187487600.0,31407.784790154623,59163.01672451878
B66,입원,30.0,82891550.0,108646360.0,2763051.6666666665,3621545.3333333335
B67,외래,16.0,1336280.0,3714310.0,83517.5,232144.375
B67,입원,6.0,17660980.0,23407590.0,2943496.6666666665,3901265.0
B68,외래,73.0,2406140.0,4525740.0,32960.82191780822,61996.438356164384
B68,입원,1.0,365930.0,390930.0,365930.0,390930.0
B69,외래,219.0,25726140.0,52789630.0,117470.95890410959,241048.53881278538
B69,입원,15.0,65866500.0,90098580.0,4391100.0,6006572.0
B70,외래,92.0,9213510.0,20081270.0,100146.84782608696,218274.6739130435
B70,입원,6.0,9246820.0,12729750.0,1541136.6666666667,2121625.0
B71,외래,67.0,2074320.0,3673790.0,30960.0,54832.68656716418
B72,외래,7.0,352260.0,513420.0,50322.857142857145,73345.71428571429
B73,외래,32.0,3509680.0,6175980.0,109677.5,192999.375
B74,외래,1.0,8680.0,12380.0,8680.0,12380.0
B75,외래,6.0,290730.0,781000.0,48455.0,130166.66666666667
B76,외래,872.0,6679440.0,9077770.0,7659.908256880734,10410.286697247706
B77,외래,1214.0,11875200.0,16100930.0,9781.878088962108,13262.710049423395
B77,입원,1.0,2556490.0,3505980.0,2556490.0,3505980.0
B79,외래,46.0,1914530.0,3409830.0,41620.217391304344,74126.73913043478
B80,외래,456.0,5885010.0,8674510.0,12905.723684210527,19023.048245614034
B81,외래,386.0,49716130.0,83032250.0,128798.26424870467,215109.45595854922
B81,입원,59.0,56227040.0,76818750.0,953000.6779661017,1302012.7118644067
B82,외래,529.0,12620670.0,19656440.0,23857.599243856333,37157.73156899811
B82,입원,1.0,1612720.0,3293360.0,1612720.0,3293360.0
B83,외래,3320.0,84007680.0,158236900.0,25303.518072289156,47661.71686746988
B83,입원,17.0,45698360.0,60757460.0,2688138.8235294116,3573968.2352941176
B85,외래,7544.0,179960630.0,251957790.0,23854.80249204666,33398.43451749735
