day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
189,부산,80,26,106,0.24528301886792453,0.06564,0.11092199999999999,0.7131599999999998
190,부산,80,30,110,0.2727272727272727,0.06567,0.1109535,0.7132299999999998
191,부산,80,28,108,0.25925925925925924,0.0657,0.11098499999999999,0.7132999999999998
192,부산,80,28,108,0.25925925925925924,0.06573,0.11101649999999999,0.7133699999999997
193,부산,80,24,104,0.23076923076923078,0.06576,0.11104800000000001,0.71344
194,부산,80,30,110,0.2727272727272727,0.06579,0.1110795,0.7135099999999999
195,부산,80,25,105,0.23809523809523808,0.06581999999999999,0.111111,0.7135799999999999
196,부산,80,28,108,0.25925925925925924,0.06584999999999999,0.11114249999999999,0.7136499999999999
197,부산,80,29,109,0.26605504587155965,0.06588000000000001,0.111174,0.7137199999999999
198,부산,80,31,111,0.27927927927927926,0.06591,0.11120549999999998,0.7137899999999999
199,부산,80,25,105,0.23809523809523808,0.06594,0.11123699999999999,0.7138599999999998
200,부산,80,21,101,0.2079207920792079,0.06596999999999999,0.1112685,0.7139299999999998
201,부산,80,28,108,0.25925925925925924,0.066,0.1113,0.7139999999999999
202,부산,80,32,112,0.2857142857142857,0.06603,0.1113315,0.7140699999999999
203,부산,80,30,110,0.2727272727272727,0.06606,0.11136299999999999,0.7141399999999999
204,부산,80,28,108,0.25925925925925924,0.06609,0.1113945,0.7142099999999998
205,부산,80,26,106,0.24528301886792453,0.06612,0.11142599999999998,0.7142799999999998
206,부산,80,29,109,0.26605504587155965,0.06615,0.11145749999999999,0.7143499999999998
207,부산,80,25,105,0.23809523809523808,0.06618,0.111489,0.7144199999999998
208,부산,80,28,108,0.25925925925925924,0.06620999999999999,0.1115205,0.7144899999999998
209,부산,80,29,109,0.26605504587155965,0.06624000000000001,0.111552,0.7145599999999998
210,부산,80,30,110,0.2727272727272727,0.06627,0.11158349999999999,0.7146299999999998
211,부산,80,33,113,0.2920353982300885,0.0663,0.11161499999999999,0.7146999999999998
212,부산,80,28,108,0.25925925925925924,0.06633,0.11164649999999998,0.7147699999999998
