진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,B21,여,외래,2 ,5 ,5 ,9148500 ,10164700 
2023,B22,남,외래,57 ,265 ,265 ,369316630 ,410771440 
2023,B22,남,입원,8 ,9 ,63 ,29662980 ,34120570 
2023,B22,여,외래,5 ,16 ,16 ,32835480 ,36494280 
2023,B23,남,외래,386 ,1855 ,1855 ,2595150310 ,2882479870 
2023,B23,남,입원,24 ,30 ,266 ,125796050 ,146229940 
2023,B23,여,외래,30 ,124 ,124 ,196977100 ,219360080 
2023,B23,여,입원,1 ,1 ,0 ,293070 ,325630 
2023,B24,남,외래,12595 ,58819 ,58757 ,95915869890 ,106586000000 
2023,B24,남,입원,377 ,739 ,9556 ,2335182180 ,2713955960 
2023,B24,여,외래,972 ,4328 ,4323 ,7053612250 ,7836917990 
2023,B24,여,입원,35 ,61 ,693 ,250687770 ,292354750 
2023,B25,남,외래,626 ,2773 ,2766 ,225496820 ,360361840 
2023,B25,남,입원,197 ,332 ,4217 ,1791593210 ,2155814230 
2023,B25,여,외래,464 ,1713 ,1707 ,145895980 ,222550380 
2023,B25,여,입원,155 ,212 ,3313 ,1451208990 ,1742573660 
2023,B26,남,외래,4043 ,5684 ,5675 ,115547630 ,180648200 
2023,B26,남,입원,150 ,159 ,519 ,120660050 ,138629310 
2023,B26,여,외래,3123 ,4344 ,4341 ,90081430 ,141057510 
2023,B26,여,입원,134 ,142 ,563 ,134387410 ,157402760 
2023,B27,남,외래,990 ,1806 ,1802 ,61266810 ,125994130 
2023,B27,남,입원,358 ,423 ,2164 ,570796100 ,708265130 
